id,url,q3,perceived,primary_topic,secondary_topic,democrat_vote,republican_vote,Bias
0,http://www.usatoday.com/story/news/nation/2013/07/15/stateline-zimmerman-stand-your-ground/2517507/,other,1,Civil Rights,Civil Rights,Neutral,Neutral,0
1,http://www.huffingtonpost.com/2013/05/21/senate-immigration-bill_n_3315271.html,News,0,Civil Rights,Civil Rights,Neutral,Neutral,0
2,http://www.washingtonpost.com/opinions/dont-let-doma-fool-you--the-supreme-court-is-restricting-your-rights/2013/06/28/cd0afa1c-de85-11e2-b94a-452948b95ca8_story.html,Opinion,1,Civil Rights,Civil Rights,Neutral,Neutral,0
3,http://www.foxnews.com/politics/2013/04/03/obamacare-in-trouble-exchange-provision-delayed-as-lawmakers-push-to-repeal/,Opinion,1,Civil Rights,Civil Rights,Neutral,Neutral,0
4,http://www.breitbart.com/Big-Government/2013/10/09/Exclusive-Immigration-agents-rip-Bob-Goodlatte-other-Republicans-Democrats-pushing-for-amnesty-in-House,Opinion,1,Civil Rights,Civil Rights,Neutral,Neutral,0
5,http://www.cnn.com/2013/06/28/politics/obama-contraceptives/index.html,Opinion,1,Civil Rights,Civil Rights,Neutral,Neutral,0
6,http://www.foxnews.com/politics/2013/10/14/amid-cuts-to-federal-courts-judge-suggests-congress-go-to-hell/,News,0,Civil Rights,Civil Rights,Neutral,SomewhatPositive,1
7,http://www.bbc.co.uk/news/technology-22213379,Opinion,1,Civil Rights,Civil Rights,Neutral,Neutral,0
8,http://www.nbcnews.com/technology/microsoft-let-nsa-bypass-encryption-mail-chats-cloud-storage-says-6C10607490,Opinion,1,Civil Rights,Civil Rights,Neutral,Neutral,0
9,http://radio.foxnews.com/toddstarnes/top-stories/military-blocks-access-to-southern-baptist-website.html,other,0,Civil Rights,Civil Rights,Neutral,Neutral,0
10,http://www.bbc.co.uk/vietnamese/world/2013/08/130812_snowden_father_visit.shtml,News,1,Civil Rights,Civil Rights,Positive,Positive,0
11,http://www.usatoday.com/story/nation/2013/08/07/jill-kelley-general-david-petraeus-general-john-allen/2625981/,News,1,Civil Rights,Civil Rights,Neutral,Neutral,0
12,http://www.dailykos.com/story/2013/12/02/1259558/-Young-white-dancer-with-her-two-black-instructors-handcuffed-by-Houston-Police-Racism,News,1,Civil Rights,Civil Rights,SomewhatPositive,SomewhatNegative,-2
13,http://online.wsj.com/article/SB10001424127887323482504578227152762437278.html,Opinion,0,Civil Rights,Civil Rights,Neutral,Neutral,0
14,"http://www.chicagotribune.com/news/opinion/editorials/ct-illinois-pension-reform-edit-1118-20131118,0,5239008.story",News,1,Civil Rights,Civil Rights,Neutral,Neutral,0
15,http://www.nytimes.com/2013/05/24/us/politics/senate-confirmation-srinivasan-pritzker.html,News,1,Civil Rights,Civil Rights,Neutral,Neutral,0
16,http://www.washingtonpost.com/local/president-obama-to-meet-with-head-of-delta-sigma-theta-sorority/2013/07/16/1b3d334c-ee37-11e2-a1f9-ea873b7e0424_story.html,News,0,Civil Rights,Civil Rights,Neutral,Neutral,0
17,"http://www.latimes.com/news/local/la-me-cap-guns-20130422,0,3042064.column",other,0,Civil Rights,Civil Rights,Neutral,SomewhatPositive,1
18,http://www.huffingtonpost.com/2013/04/11/toure-msnbcs-all-white-pr_n_3062599.html,other,0,Civil Rights,Civil Rights,Negative,SomewhatNegative,1
19,http://www.huffingtonpost.com/2013/06/11/darrell-issa-irs-investigation-transcripts_n_3424166.html,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,SomewhatNegative,0
20,http://www.huffingtonpost.com/2013/05/13/michele-bachmann-irs_n_3266274.html,News,1,Democrat Scandals,Civil Rights,Negative,Neutral,2
21,http://www.nytimes.com/2013/03/07/us/politics/cias-harsh-interrogations-pose-hurdles-for-john-brennan.html,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
22,http://www.foxnews.com/politics/2013/04/15/labor-secretary-nominee-accused-quid-pro-quo-deal/,News,0,Democrat Scandals,Civil Rights,Neutral,Neutral,0
23,http://video.foxnews.com/v/2800623370001/are-media-casting-obama-as-disengaged/,Opinion,0,Democrat Scandals,Civil Rights,Negative,SomewhatNegative,1
24,http://www.huffingtonpost.com/2013/08/02/new-democrat-coalition-immigration_n_3696937.html,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
25,http://online.wsj.com/news/articles/SB10001424052702304213904579093491966449908,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
26,http://www.cnn.com/2012/05/10/politics/obama-same-sex-marriage/index.html,News,0,Democrat Scandals,Civil Rights,SomewhatPositive,SomewhatNegative,-2
27,http://www.bbc.co.uk/news/world-us-canada-24768717,News,1,Democrat Scandals,Civil Rights,Negative,SomewhatPositive,3
28,http://www.breitbart.com/Big-Peace/2013/01/21/Why-Bibi-Is-Not-Intimidated-by-Obama,Opinion,0,Democrat Scandals,Civil Rights,SomewhatNegative,SomewhatNegative,0
29,http://www.breitbart.com/Big-Government/2013/06/18/MADD-OK-with-convicted-drunk-driver-illegal-aliens-staying-on-America-s-roads,Opinion,0,Democrat Scandals,Civil Rights,SomewhatNegative,SomewhatPositive,2
30,http://www.breitbart.com/Big-Government/2013/05/21/sarah-palin-going-rogue-in-wrong-direction,Opinion,0,Democrat Scandals,Civil Rights,Negative,Neutral,2
31,http://online.wsj.com/article/SB10001424127887324767004578488833834357540.html,News,0,Democrat Scandals,Civil Rights,Negative,SomewhatPositive,3
32,http://www.reuters.com/article/2013/06/11/us-usa-security-snowden-idUSBRE95A0TH20130611,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
33,http://www.reuters.com/article/2013/05/22/us-usa-irs-lerner-idUSBRE94L0OS20130522,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
34,http://online.wsj.com/news/articles/SB10001424052702304527504579169853503880212,Opinion,0,Democrat Scandals,Civil Rights,Negative,Neutral,2
35,http://www.nytimes.com/2013/05/18/us/politics/irs-scandal-congressional-hearings.html,News,0,Democrat Scandals,Civil Rights,SomewhatNegative,SomewhatNegative,0
36,http://www.washingtonpost.com/politics/irs-targeted-groups-critical-of-government-documents-from-agency-probe-show/2013/05/12/bb38e5bc-bb24-11e2-97d4-a479289a31f9_story.html,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
37,http://blogs.wsj.com/washwire/2013/07/12/democrats-step-up-criticism-of-irs-probe/,News,0,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
38,http://firstread.nbcnews.com/_news/2013/06/20/19060292-a-month-later-just-one-controversy-for-obama-goes-all-the-way-to-the-top,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
39,http://www.washingtonpost.com/politics/federal_government/irs-bolos-raise-new-questions-about-political-targeting-uproar/2013/07/04/e4988482-de77-11e2-b797-cbd4cb13f9c6_story_1.html,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
40,http://blogs.wsj.com/washwire/2013/05/15/boehner-says-prison-time-possible-in-irs-scandal/,News,0,Democrat Scandals,Civil Rights,SomewhatNegative,SomewhatPositive,2
41,http://www.huffingtonpost.com/2013/05/19/karl-rove-irs_n_3302754.html,News,1,Democrat Scandals,Civil Rights,Neutral,Neutral,0
42,http://news.yahoo.com/surveillance-critics-face-obama-oval-office-234633724.html,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
43,http://online.wsj.com/article/SB10001424127887324216004578483203153773048.html,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,SomewhatPositive,2
44,http://video.foxnews.com/v/2426855339001/huckabee-im-james-rosen-and-so-are-you/,Opinion,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
45,http://online.wsj.com/article/SB10001424127887324715704578478851998004528.html,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
46,"http://www.latimes.com/news/nationworld/nation/la-na-inaugural-pastor-20130111,0,1750081.story",News,1,Democrat Scandals,Civil Rights,Neutral,Neutral,0
47,http://www.breitbart.com/Big-Journalism/2013/06/05/Politico-Coordinates-with-democrats-attacks-Victims-of-IRS,Opinion,0,Democrat Scandals,Civil Rights,Negative,SomewhatPositive,3
48,http://www.breitbart.com/Big-Government/2013/05/16/10-Questions-Obama-Must-Answer-On-IRS-Scandal,News,1,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
49,http://www.foxnews.com/politics/2013/06/21/fbi-under-pressure-to-explain-drone-use-as-obama-names-new-director/,News,0,Democrat Scandals,Civil Rights,Neutral,Neutral,0
50,http://usnews.nbcnews.com/_news/2013/05/13/18232170-5-unanswered-questions-about-the-irs-targeting-of-conservative-groups,News,0,Democrat Scandals,Civil Rights,SomewhatNegative,Neutral,1
51,http://www.foxnews.com/opinion/2013/10/20/obamas-fingerpints-all-over-irs-tea-party-scandal/print,News,0,Democrat Scandals,Civil Rights,Negative,Neutral,2
